id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
191,7 DE AGOSTO,Sector Barzal,4.1469,-73.64,3.8,6000,4000,10000,19
192,BARZAL BAJO,Sector Barzal,4.1442,-73.6365,3.8,6000,4000,10000,19
193,BARZAL ALTO,Sector Barzal,4.1435,-73.6375,3.8,6000,4000,10000,19
194,CLUB VILLAVICENCIO,Sector Barzal,4.1462,-73.6342,3.8,6000,4000,10000,19
195,MESETAS,Sector Barzal,4.1401,-73.6375,3.8,6000,4000,10000,19
196,ELECTRIFICADORA EMSA,Sector Barzal,4.1455,-73.6334,3.8,6000,4000,10000,19
197,BALATA,Sector Barzal,4.1487,-73.6389,3.8,6000,4000,10000,19
198,CAMOA,Sector Barzal,4.1415,-73.6414,3.8,6000,4000,10000,19
199,SALLE,Sector Barzal,4.1435,-73.6326,3.8,6000,4000,10000,19
200,POZO VEIENTE,Sector Barzal,4.1485,-73.6321,3.8,6000,4000,10000,19
201,RECODO BARZAL,Sector Barzal,4.1442,-73.6365,3.8,6000,4000,10000,19
202,AZOTEA,Sector Barzal,4.1484,-73.6378,3.8,6000,4000,10000,19
203,HOSPITAL DEPARTAMENTAL,Sector Salud Barzal,4.1398,-73.6378,4.5,6000,5000,11000,21
204,HOSPITAL DE LA GENTE,Sector Salud Barzal,4.1451,-73.636,4.5,6000,5000,11000,21
205,LIGA CONTRA EL CANCER,Sector Salud Barzal,4.1416,-73.6335,4.5,6000,5000,11000,21
206,SOMOS,Sector Salud Barzal,4.1474,-73.6333,4.5,6000,5000,11000,21
207,CLINICA PRIMAVERA,Sector Salud Barzal,4.1458,-73.6341,4.5,6000,5000,11000,21
208,CLINICA META,Sector Salud Barzal,4.1459,-73.6341,4.5,6000,5000,11000,21
209,NUEVA CLINICA BARZAL,Sector Salud Barzal,4.1442,-73.6365,4.5,6000,5000,11000,21
210,SERVIMEDICOS,Sector Salud Barzal,4.1478,-73.6365,4.5,6000,5000,11000,21
