id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
153,REMANSOS DEL LLANO,Sector Amarilo,4.1081,-73.6026,6.6,6000,8000,14000,26
154,SAN GERARDO,Sector Amarilo,4.11,-73.6099,6.6,6000,8000,14000,26
155,TERRA VELA,Sector Amarilo,4.1051,-73.6008,6.6,6000,8000,14000,26
156,AMARILO MORICHAL,Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
157,AMARILO CIMARON,Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
158,AMARILO ALBORADA,Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
159,AMARILO PIEDEMONTE,Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
160,AMARILO ARAUCO,Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
161,AMARILO ZAINOS,Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
162,"AMARILO PASOLLONO 1,2,3,4",Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
163,AMARILO ALCARABN,Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
164,AMARILO MAPIRE,Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
165,AMARILO OCARROS,Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
166,AMARILO ARBOLEDA CAMPESTRE,Sector Amarilo,4.108,-73.605,5.9,6000,7000,13000,24
167,AMARILO PRADO VERDE,Sector Amarilo,4.108,-73.605,5.9,6000,7000,13000,24
168,IV 4,Sector Amarilo,4.1106,-73.6005,5.9,6000,7000,13000,24
169,Página 476,Sector Amarilo,4.1095,-73.6095,5.9,6000,7000,13000,24
170,"AMARILO LLANO ALTO 1,2,3,4",Sector Amarilo,4.108,-73.605,5.9,6000,7000,13000,24
171,VILLA HERMOSA,Sector Amarilo,4.1117,-73.6067,5.9,6000,7000,13000,24
172,CONDOMINIO CAMPSTRE,Sector Amarilo,4.1055,-73.6046,5.9,6000,7000,13000,24
173,CARACOLI,Sector Amarilo,4.111,-73.6002,5.9,6000,7000,13000,24
174,GIMNASIO LOS ALCAZARES,Sector Amarilo,4.1116,-73.601,5.9,6000,7000,13000,24
175,LAS MERCEDES,Sector Amarilo,4.1058,-73.6067,5.9,6000,7000,13000,24
176,MULTIFA CENTAUROS BLOQUE,Sector Los Centauros,4.1091,-73.6085,6.6,6000,8000,14000,26
177,"A,B,C,D",Sector Los Centauros,4.1093,-73.6114,6.6,6000,8000,14000,26
178,PORTALES DE GRATAMIRA,Sector Los Centauros,4.1122,-73.6074,6.6,6000,8000,14000,26
179,BALCONES DE GRATAMIRA,Sector Los Centauros,4.1082,-73.6135,6.6,6000,8000,14000,26
180,"TORRES DE SALERMO 1,2",Sector Los Centauros,4.1141,-73.6111,6.6,6000,8000,14000,26
181,CONDOMINIO SANTA ANA,Sector Los Centauros,4.1165,-73.6093,6.6,6000,8000,14000,26
182,CONDOMINIO LA FONTANA,Sector Los Centauros,4.1143,-73.6131,6.6,6000,8000,14000,26
183,CONDOMINIO SANTA PAULA,Sector Los Centauros,4.1079,-73.6091,6.6,6000,8000,14000,26
184,PRADOS DE MAVICURE,Sector Los Centauros,4.11,-73.6072,6.6,6000,8000,14000,26
185,UNIVERSIDAD UNIMINUTO,Sector Los Centauros,4.1123,-73.6113,6.6,6000,8000,14000,26
186,CANCHA SINTETICA QUARZO,Sector Los Centauros,4.1146,-73.6146,6.6,6000,8000,14000,26
187,RENAULT CASATORO,Sector Los Centauros,4.1155,-73.6112,6.6,6000,8000,14000,26
188,CHEVROLET,Sector Los Centauros,4.1074,-73.6075,6.6,6000,8000,14000,26
189,NISSAN,Sector Los Centauros,4.1079,-73.612,6.6,6000,8000,14000,26
190,SUZUKI ALCALA MOTOR,Sector Los Centauros,4.1133,-73.6147,6.6,6000,8000,14000,26
191,CANCHA MONACO,Sector Los Centauros,4.1086,-73.6136,6.6,6000,8000,14000,26
192,BAR TERRAZA,Sector Los Centauros,4.116,-73.6066,6.6,6000,8000,14000,26
193,7 DE AGOSTO,Sector Barzal,4.1469,-73.64,3.1,6000,3000,9000,17
194,BARZAL BAJO,Sector Barzal,4.1442,-73.6365,3.1,6000,3000,9000,17
195,BARZAL ALTO,Sector Barzal,4.1435,-73.6375,3.1,6000,3000,9000,17
196,CLUB VILLAVICENCIO,Sector Barzal,4.1462,-73.6342,3.1,6000,3000,9000,17
197,MESETAS,Sector Barzal,4.1401,-73.6375,3.1,6000,3000,9000,17
198,ELECTRIFICADORA EMSA,Sector Barzal,4.1455,-73.6334,3.1,6000,3000,9000,17
199,BALATA,Sector Barzal,4.1487,-73.6389,3.1,6000,3000,9000,17
200,CAMOA,Sector Barzal,4.1415,-73.6414,3.1,6000,3000,9000,17
201,SALLE,Sector Barzal,4.1435,-73.6326,3.1,6000,3000,9000,17
202,POZO VEIENTE,Sector Barzal,4.1485,-73.6321,3.1,6000,3000,9000,17
203,Página 477,Sector Barzal,4.1478,-73.6408,3.8,6000,4000,10000,19
204,RECODO BARZAL,Sector Barzal,4.1442,-73.6365,3.8,6000,4000,10000,19
205,AZOTEA,Sector Barzal,4.1484,-73.6378,3.8,6000,4000,10000,19
206,HOSPITAL DEPARTAMENTAL,Sector Salud Barzal,4.1398,-73.6378,3.8,6000,4000,10000,19
207,HOSPITAL DE LA GENTE,Sector Salud Barzal,4.1451,-73.636,3.8,6000,4000,10000,19
208,LIGA CONTRA EL CANCER,Sector Salud Barzal,4.1416,-73.6335,3.8,6000,4000,10000,19
209,SOMOS,Sector Salud Barzal,4.1474,-73.6333,3.8,6000,4000,10000,19
210,CLINICA PRIMAVERA,Sector Salud Barzal,4.1458,-73.6341,3.8,6000,4000,10000,19
211,CLINICA META,Sector Salud Barzal,4.1459,-73.6341,3.8,6000,4000,10000,19
212,NUEVA CLINICA BARZAL,Sector Salud Barzal,4.1442,-73.6365,3.8,6000,4000,10000,19
213,SERVIMEDICOS,Sector Salud Barzal,4.1478,-73.6365,3.8,6000,4000,10000,19
214,SANITAS,Sector Salud Barzal,4.143,-73.6323,3.8,6000,4000,10000,19
215,CAJACOPI BARZAL,Sector Salud Barzal,4.1442,-73.6365,3.8,6000,4000,10000,19
216,CLINICA CARDIOVASCULAR,Sector Salud Barzal,4.141,-73.6316,3.8,6000,4000,10000,19
217,SALUDA TOTAL,Sector Salud Barzal,4.1405,-73.6408,3.8,6000,4000,10000,19
218,CAPILLAS DE LA FE,Sector Salud Barzal,4.1392,-73.6403,3.8,6000,4000,10000,19
219,IPS MONTANO MEDICAL BUQUE,Sector Salud Barzal,4.135,-73.642,3.8,6000,4000,10000,19
220,IPS CUIDAR BUQUE,Sector Salud Barzal,4.135,-73.642,4.5,6000,5000,11000,21
221,IPS CENTRO MERDICO DE,Sector Salud Barzal,4.1488,-73.6339,4.5,6000,5000,11000,21
222,REHABULITACION,Sector Salud Barzal,4.1467,-73.6339,4.5,6000,5000,11000,21
223,IPS CENTRO TERAPEUTICO,Sector Salud Barzal,4.1488,-73.6339,4.5,6000,5000,11000,21
224,INTEGRAL,Sector Salud Barzal,4.1406,-73.6319,4.5,6000,5000,11000,21
225,LABORATORIO CLINICO,Sector Salud Barzal,4.1392,-73.6344,3.8,6000,4000,10000,19
226,UNIDAD AMBULATORIA DE ALTA,Sector Salud Barzal,4.1401,-73.6413,3.8,6000,4000,10000,19
227,COMPLEJI,Sector Salud Barzal,4.1415,-73.64,3.8,6000,4000,10000,19
