id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
193,Página 740,Sector Barzal,4.1417,-73.6366,7.3,6000,9000,15000,28
194,7 DE AGOSTO,Sector Barzal,4.1469,-73.64,7.3,6000,9000,15000,28
195,BARZAL BAJO,Sector Barzal,4.1442,-73.6365,7.3,6000,9000,15000,28
196,BARZAL ALTO,Sector Barzal,4.1435,-73.6375,7.3,6000,9000,15000,28
197,CLUB VILLAVICENCIO,Sector Barzal,4.1462,-73.6342,7.3,6000,9000,15000,28
198,MESETAS,Sector Barzal,4.1401,-73.6375,7.3,6000,9000,15000,28
199,ELECTRIFICADORA EMSA,Sector Barzal,4.1455,-73.6334,7.3,6000,9000,15000,28
200,BALATA,Sector Barzal,4.1487,-73.6389,7.3,6000,9000,15000,28
201,CAMOA,Sector Barzal,4.1415,-73.6414,7.3,6000,9000,15000,28
202,SALLE,Sector Barzal,4.1435,-73.6326,7.3,6000,9000,15000,28
203,POZO VEIENTE,Sector Barzal,4.1485,-73.6321,7.3,6000,9000,15000,28
204,RECODO BARZAL,Sector Barzal,4.1442,-73.6365,7.3,6000,9000,15000,28
205,AZOTEA,Sector Barzal,4.1484,-73.6378,7.3,6000,9000,15000,28
206,HOSPITAL DEPARTAMENTAL,Sector Salud Barzal,4.1398,-73.6378,6.6,6000,8000,14000,26
207,HOSPITAL DE LA GENTE,Sector Salud Barzal,4.1451,-73.636,6.6,6000,8000,14000,26
208,LIGA CONTRA EL CANCER,Sector Salud Barzal,4.1416,-73.6335,6.6,6000,8000,14000,26
209,SOMOS,Sector Salud Barzal,4.1474,-73.6333,6.6,6000,8000,14000,26
210,CLINICA PRIMAVERA,Sector Salud Barzal,4.1458,-73.6341,6.6,6000,8000,14000,26
211,CLINICA META,Sector Salud Barzal,4.1459,-73.6341,6.6,6000,8000,14000,26
212,NUEVA CLINICA BARZAL,Sector Salud Barzal,4.1442,-73.6365,6.6,6000,8000,14000,26
213,SERVIMEDICOS,Sector Salud Barzal,4.1478,-73.6365,6.6,6000,8000,14000,26
214,SANITAS,Sector Salud Barzal,4.143,-73.6323,6.6,6000,8000,14000,26
