id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
198,CLUB VILLAVICENCIO,Sector Barzal,4.1462,-73.6342,0.6,6000,7000,13000,24
199,MESETAS,Sector Barzal,4.1401,-73.6375,1.1,6000,4000,10000,19
200,ELECTRIFICADORA EMSA,Sector Barzal,4.1455,-73.6334,0.8,6000,4000,10000,19
201,BALATA,Sector Barzal,4.1487,-73.6389,0.6,6000,4000,10000,19
202,CAMOA,Sector Barzal,4.1415,-73.6414,1.3,6000,4000,10000,19
203,SALLE,Sector Barzal,4.1435,-73.6326,1.0,6000,4000,10000,19
204,POZO VEIENTE,Sector Barzal,4.1485,-73.6321,1.0,6000,4000,10000,19
205,RECODO BARZAL,Sector Barzal,4.1442,-73.6365,0.9,6000,6000,12000,23
206,AZOTEA,Sector Salud Barzal,4.1484,-73.6378,0.6,6000,5000,11000,21
207,HOSPITAL DEPARTAMENTAL,Sector Salud Barzal,4.1398,-73.6378,1.0,6000,5000,11000,21
208,HOSPITAL DE LA GENTE,Sector Salud Barzal,4.1451,-73.636,1.2,6000,4000,10000,19
209,LIGA CONTRA EL CANCER,Sector Salud Barzal,4.1416,-73.6335,0.9,6000,4000,10000,19
210,SOMOS,Sector Salud Barzal,4.1474,-73.6333,1.0,6000,4000,10000,19
211,CLINICA PRIMAVERA,Sector Salud Barzal,4.1458,-73.6341,0.7,6000,4000,10000,19
212,Página 103,Sector Salud Barzal,4.1418,-73.6405,0.7,6000,4000,10000,19
213,CLINICA META,Sector Salud Barzal,4.1459,-73.6341,0.9,6000,4000,10000,19
214,NUEVA CLINICA BARZAL,Sector Salud Barzal,4.1442,-73.6365,0.9,6000,4000,10000,19
215,SERVIMEDICOS,Sector Salud Barzal,4.1478,-73.6365,0.8,6000,4000,10000,19
216,SANITAS,Sector Salud Barzal,4.143,-73.6323,0.9,6000,4000,10000,19
217,CAJACOPI BARZAL,Sector Salud Barzal,4.1442,-73.6365,0.9,6000,5000,11000,21
218,CLINICA CARDIOVASCULAR,Sector Salud Barzal,4.141,-73.6316,1.0,6000,5000,11000,21
219,SALUDA TOTAL,Sector Salud Barzal,4.1405,-73.6408,1.1,6000,5000,11000,21
220,CAPILLAS DE LA FE,Sector Salud Barzal,4.1392,-73.6403,0.5,6000,5000,11000,21
221,IPS MONTANO MEDICAL BUQUE,Sector Salud Barzal,4.135,-73.642,2.0,6000,5000,11000,21
222,IPS CUIDAR BUQUE,Sector Salud Barzal,4.135,-73.642,2.0,6000,5000,11000,21
223,IPS CENTRO MERDICO DE,Sector Salud Barzal,4.1488,-73.6339,0.6,6000,5000,11000,21
224,REHABULITACION,Sector Salud Barzal,4.1467,-73.6339,1.1,6000,5000,11000,21
225,IPS CENTRO TERAPEUTICO INTEGRAL,Sector Salud Barzal,4.1488,-73.6339,0.6,6000,4000,10000,19
226,LABORATORIO CLINICO,Sector Salud Barzal,4.1392,-73.6344,0.5,6000,3000,9000,17
227,UNIDAD AMBULATORIA DE ALTA,Sector Salud Barzal,4.1401,-73.6413,0.8,6000,3000,9000,17
228,COMPLEJI,Sector Salud Barzal,4.1415,-73.64,0.6,6000,3000,9000,17
229,IPS MULTISALUD,Sector Salud Barzal,4.1439,-73.6409,1.0,6000,3000,9000,17
230,IPS PREVIS,Sector Salud Barzal,4.1404,-73.6322,1.1,6000,3000,9000,17
231,Página 104,Sector Salud Barzal,4.1487,-73.6361,1.0,6000,3000,9000,17
232,IPS REHABILITAR,Sector Salud Barzal,4.1458,-73.6398,0.5,6000,4000,10000,19
233,IPS SANTA BARBARA,Sector Salud Barzal,4.1451,-73.6379,1.0,6000,5000,11000,21
234,CLINICA OCULAR BUQUE,Sector Grama,4.135,-73.642,2.0,6000,4000,10000,19
235,EMPORIO,Sector Grama,4.1569,-73.6424,2.2,6000,6000,12000,23
236,TRIUNFO,Sector Grama,4.1601,-73.6397,2.0,6000,6000,12000,23
237,GALAN,Sector Grama,4.1539,-73.6387,1.8,6000,6000,12000,23
238,ALCACERES,Sector Grama,4.1574,-73.6427,1.1,6000,6000,12000,23
239,ESMERALDA,Sector Grama,4.159,-73.6414,1.7,6000,6000,12000,23
240,GRAMA,Sector Grama,4.1585,-73.6415,1.8,6000,6000,12000,23
241,ESCUELA DE CARABINEROS,Sector Grama,4.1592,-73.6454,2.0,6000,7000,13000,24
242,DOCE DE OCTUBRE,Sector Grama,4.1562,-73.6449,2.2,6000,7000,13000,24
243,SANTA JOSEFA MILITAR,Sector Grama,4.157,-73.6411,1.6,6000,7000,13000,24
244,SAN FELIPE,Sector Grama,4.155,-73.6412,1.7,6000,7000,13000,24
245,PANORAMA,Sector Grama,4.1572,-73.6403,1.9,6000,7000,13000,24
246,VIRREY,Sector Grama,4.1631,-73.642,1.8,6000,7000,13000,24
247,CAMPIÑA,Sector Grama,4.1547,-73.6439,1.8,6000,7000,13000,24
248,CHAPINERO BAJO,Sector Grama,4.1584,-73.64,1.2,6000,7000,13000,24
249,CHAPINERO ALTO,Sector Grama Conjuntos Y Edificios,4.154,-73.6413,2.2,6000,6000,12000,23
250,NUEVA GRANADA,Sector Grama Conjuntos Y Edificios,4.1563,-73.6426,2.1,6000,6000,12000,23
251,RONDINELA,Sector Grama Conjuntos Y Edificios,4.1578,-73.6379,2.2,6000,6000,12000,23
252,PRADERA,Sector Grama Conjuntos Y Edificios,4.1561,-73.6405,2.1,6000,6000,12000,23
253,Página 105,Sector Grama Conjuntos Y Edificios,4.1554,-73.6425,1.9,6000,6000,12000,23
254,CONDOMINIO PUERTA DEL SOL,Sector Grama Conjuntos Y Edificios,4.1564,-73.6393,1.7,6000,6000,12000,23
255,"CONJUNTO RESIDENCIAL CAMBULOS 1,2,3",Sector Grama Conjuntos Y Edificios,4.1631,-73.644,2.1,6000,6000,12000,23
256,"COJUNTO RESIDENCIAL SAN ANGEL 1,2",Sector Grama Conjuntos Y Edificios,4.1595,-73.6366,1.9,6000,7000,13000,24
257,CONJUNTO PRADROS DE SAN FRANCISCO,Sector Grama Conjuntos Y Edificios,4.155,-73.6448,1.3,6000,7000,13000,24
258,"SAN ANGEL 1,2",Sector Grama Conjuntos Y Edificios,4.1555,-73.6367,1.9,6000,7000,13000,24
259,"LOS CAMBULOS 1,2,3",Sector Grama Conjuntos Y Edificios,4.1593,-73.6369,2.0,6000,7000,13000,24
260,PANORAMA DEL CAMPO,Sector Grama Conjuntos Y Edificios,4.161,-73.6368,1.6,6000,7000,13000,24
261,LA ARENERA,Sector Caudal,4.1606,-73.6374,1.6,6000,5000,11000,21
262,CAUDAL,Sector Caudal,4.1595,-73.638,1.6,6000,5000,11000,21
